Week,Airports,Class,Passengers,Date
1990 W27,ADL-PER,Business,208,02-07-1990
1990 W28,ADL-PER,Business,201,09-07-1990
1990 W29,ADL-PER,Business,218,16-07-1990
1990 W30,ADL-PER,Business,244,23-07-1990
1990 W31,ADL-PER,Business,231,30-07-1990
1990 W32,ADL-PER,Business,209,06-08-1990
1990 W33,ADL-PER,Business,228,13-08-1990
1990 W34,ADL-PER,Business,214,20-08-1990
1990 W35,ADL-PER,Business,228,27-08-1990
1990 W36,ADL-PER,Business,255,03-09-1990
1990 W37,ADL-PER,Business,247,10-09-1990
1990 W38,ADL-PER,Business,127,17-09-1990
1990 W39,ADL-PER,Business,222,24-09-1990
1990 W40,ADL-PER,Business,239,01-10-1990
1990 W41,ADL-PER,Business,270,08-10-1990
1990 W42,ADL-PER,Business,261,15-10-1990
1990 W43,ADL-PER,Business,238,22-10-1990
1990 W44,ADL-PER,Business,284,29-10-1990
1990 W45,ADL-PER,Business,267,05-11-1990
1990 W46,ADL-PER,Business,317,12-11-1990
1990 W47,ADL-PER,Business,275,19-11-1990
1990 W48,ADL-PER,Business,259,26-11-1990
1990 W49,ADL-PER,Business,203,03-12-1990
1990 W50,ADL-PER,Business,138,10-12-1990
1990 W51,ADL-PER,Business,52,17-12-1990
1990 W52,ADL-PER,Business,69,24-12-1990
1991 W01,ADL-PER,Business,108,31-12-1991
1991 W02,ADL-PER,Business,168,07-01-1991
1991 W03,ADL-PER,Business,138,14-01-1991
1991 W04,ADL-PER,Business,152,21-01-1991
1991 W05,ADL-PER,Business,217,28-01-1991
1991 W06,ADL-PER,Business,225,04-02-1991
1991 W07,ADL-PER,Business,264,11-02-1991
1991 W08,ADL-PER,Business,234,18-02-1991
1991 W09,ADL-PER,Business,222,25-02-1991
1991 W10,ADL-PER,Business,237,04-03-1991
1991 W11,ADL-PER,Business,280,11-03-1991
1991 W12,ADL-PER,Business,191,18-03-1991
1991 W13,ADL-PER,Business,169,25-03-1991
1991 W14,ADL-PER,Business,261,01-04-1991
1991 W15,ADL-PER,Business,268,08-04-1991
1991 W16,ADL-PER,Business,171,15-04-1991
1991 W17,ADL-PER,Business,273,22-04-1991
1991 W18,ADL-PER,Business,314,29-04-1991
1991 W19,ADL-PER,Business,234,06-05-1991
1991 W20,ADL-PER,Business,314,13-05-1991
1991 W21,ADL-PER,Business,235,20-05-1991
1991 W22,ADL-PER,Business,251,27-05-1991
1991 W23,ADL-PER,Business,232,03-06-1991
1991 W24,ADL-PER,Business,303,10-06-1991
1991 W25,ADL-PER,Business,246,17-06-1991
1991 W26,ADL-PER,Business,234,24-06-1991
1991 W27,ADL-PER,Business,215,01-07-1991
1991 W28,ADL-PER,Business,212,08-07-1991
1991 W29,ADL-PER,Business,243,15-07-1991
1991 W30,ADL-PER,Business,224,22-07-1991
1991 W31,ADL-PER,Business,258,29-07-1991
1991 W32,ADL-PER,Business,220,05-08-1991
1991 W33,ADL-PER,Business,222,12-08-1991
1991 W34,ADL-PER,Business,211,19-08-1991
1991 W35,ADL-PER,Business,241,26-08-1991
1991 W36,ADL-PER,Business,261,02-09-1991
1991 W37,ADL-PER,Business,249,09-09-1991
1991 W38,ADL-PER,Business,257,16-09-1991
1991 W39,ADL-PER,Business,220,23-09-1991
1991 W40,ADL-PER,Business,184,30-09-1991
1991 W41,ADL-PER,Business,221,07-10-1991
1991 W42,ADL-PER,Business,223,14-10-1991
1991 W43,ADL-PER,Business,206,21-10-1991
1991 W44,ADL-PER,Business,260,28-10-1991
1991 W45,ADL-PER,Business,270,04-11-1991
1991 W46,ADL-PER,Business,250,11-11-1991
1991 W47,ADL-PER,Business,260,18-11-1991
1991 W48,ADL-PER,Business,199,25-11-1991
1991 W49,ADL-PER,Business,177,02-12-1991
1991 W50,ADL-PER,Business,195,09-12-1991
1991 W51,ADL-PER,Business,60,16-12-1991
1991 W52,ADL-PER,Business,66,23-12-1991
1992 W01,ADL-PER,Business,138,30-12-1992
1992 W02,ADL-PER,Business,173,06-01-1992
1992 W03,ADL-PER,Business,142,13-01-1992
1992 W04,ADL-PER,Business,118,20-01-1992
1992 W05,ADL-PER,Business,269,27-01-1992
1992 W06,ADL-PER,Business,296,03-02-1992
1992 W07,ADL-PER,Business,259,10-02-1992
1992 W08,ADL-PER,Business,314,17-02-1992
1992 W09,ADL-PER,Business,255,24-02-1992
1992 W10,ADL-PER,Business,282,02-03-1992
1992 W11,ADL-PER,Business,290,09-03-1992
1992 W12,ADL-PER,Business,713,16-03-1992
1992 W13,ADL-PER,Business,910,23-03-1992
1992 W14,ADL-PER,Business,1015,30-03-1992
1992 W15,ADL-PER,Business,844,06-04-1992
1992 W16,ADL-PER,Business,718,13-04-1992
1992 W17,ADL-PER,Business,911,20-04-1992
1992 W18,ADL-PER,Business,890,27-04-1992
1992 W19,ADL-PER,Business,933,04-05-1992
1992 W20,ADL-PER,Business,901,11-05-1992
1992 W21,ADL-PER,Business,875,18-05-1992
1992 W22,ADL-PER,Business,666,25-05-1992
1992 W23,ADL-PER,Business,624,01-06-1992
1992 W24,ADL-PER,Business,619,08-06-1992
1992 W25,ADL-PER,Business,517,15-06-1992
1992 W26,ADL-PER,Business,436,22-06-1992
1992 W27,ADL-PER,Business,424,29-06-1992
1992 W28,ADL-PER,Business,363,06-07-1992
1992 W29,ADL-PER,Business,386,13-07-1992
1992 W30,ADL-PER,Business,398,20-07-1992
1992 W31,ADL-PER,Business,394,27-07-1992
1992 W32,ADL-PER,Business,397,03-08-1992
1992 W33,ADL-PER,Business,342,10-08-1992
1992 W34,ADL-PER,Business,414,17-08-1992
1992 W35,ADL-PER,Business,406,24-08-1992
1992 W36,ADL-PER,Business,394,31-08-1992
1992 W37,ADL-PER,Business,420,07-09-1992
1992 W38,ADL-PER,Business,331,14-09-1992
1992 W39,ADL-PER,Business,338,21-09-1992
1992 W40,ADL-PER,Business,325,28-09-1992
1992 W41,ADL-PER,Business,459,05-10-1992
1992 W42,ADL-PER,Business,464,12-10-1992
1992 W43,ADL-PER,Business,388,19-10-1992
1992 W44,ADL-PER,Business,342,26-10-1992
1992 W45,ADL-PER,Business,484,02-11-1992
1992 W46,ADL-PER,Business,428,09-11-1992
1992 W47,ADL-PER,Business,404,16-11-1992
1987 W26,ADL-PER,Economy,2084,22-06-1987
1987 W27,ADL-PER,Economy,2186,29-06-1987
1987 W28,ADL-PER,Economy,2137,06-07-1987
1987 W29,ADL-PER,Economy,2090,13-07-1987
1987 W30,ADL-PER,Economy,1595,20-07-1987
1987 W31,ADL-PER,Economy,1908,27-07-1987
1987 W32,ADL-PER,Economy,1778,03-08-1987
1987 W33,ADL-PER,Economy,1931,10-08-1987
1987 W34,ADL-PER,Economy,2062,17-08-1987
1987 W35,ADL-PER,Economy,2062,24-08-1987
1987 W36,ADL-PER,Economy,1976,31-08-1987
1987 W37,ADL-PER,Economy,1743,07-09-1987
1987 W38,ADL-PER,Economy,2635,14-09-1987
1987 W39,ADL-PER,Economy,2532,21-09-1987
1987 W40,ADL-PER,Economy,2390,28-09-1987
1987 W41,ADL-PER,Economy,2620,05-10-1987
1987 W42,ADL-PER,Economy,2314,12-10-1987
1987 W43,ADL-PER,Economy,2208,19-10-1987
1987 W44,ADL-PER,Economy,2039,26-10-1987
1987 W45,ADL-PER,Economy,2392,02-11-1987
1987 W46,ADL-PER,Economy,2838,09-11-1987
1987 W47,ADL-PER,Economy,2134,16-11-1987
1987 W48,ADL-PER,Economy,1957,23-11-1987
1987 W49,ADL-PER,Economy,2152,30-11-1987
1987 W50,ADL-PER,Economy,2584,07-12-1987
1987 W51,ADL-PER,Economy,2611,14-12-1987
1987 W52,ADL-PER,Economy,2245,21-12-1987
1987 W53,ADL-PER,Economy,2753,28-12-1987
1988 W01,ADL-PER,Economy,2666,04-01-1988
1988 W02,ADL-PER,Economy,2204,11-01-1988
1988 W03,ADL-PER,Economy,2395,18-01-1988
1988 W04,ADL-PER,Economy,2241,25-01-1988
1988 W05,ADL-PER,Economy,1929,01-02-1988
1988 W06,ADL-PER,Economy,2247,08-02-1988
1988 W07,ADL-PER,Economy,2764,15-02-1988
1988 W08,ADL-PER,Economy,2001,22-02-1988
1988 W09,ADL-PER,Economy,2169,29-02-1988
1988 W10,ADL-PER,Economy,1955,07-03-1988
1988 W11,ADL-PER,Economy,2516,14-03-1988
1988 W12,ADL-PER,Economy,2353,21-03-1988
1988 W13,ADL-PER,Economy,2299,28-03-1988
1988 W14,ADL-PER,Economy,2473,04-04-1988
1988 W15,ADL-PER,Economy,2412,11-04-1988
1988 W16,ADL-PER,Economy,2231,18-04-1988
1988 W17,ADL-PER,Economy,2224,25-04-1988
1988 W18,ADL-PER,Economy,2150,02-05-1988
1988 W19,ADL-PER,Economy,2063,09-05-1988
1988 W20,ADL-PER,Economy,2014,16-05-1988
1988 W21,ADL-PER,Economy,1717,23-05-1988
1988 W22,ADL-PER,Economy,1627,30-05-1988
1988 W23,ADL-PER,Economy,1969,06-06-1988
1988 W24,ADL-PER,Economy,1958,13-06-1988
1988 W25,ADL-PER,Economy,2014,20-06-1988
1988 W26,ADL-PER,Economy,2320,27-06-1988
1988 W27,ADL-PER,Economy,2173,04-07-1988
1988 W28,ADL-PER,Economy,2152,11-07-1988
1988 W29,ADL-PER,Economy,1887,18-07-1988
1988 W30,ADL-PER,Economy,1939,25-07-1988
1988 W31,ADL-PER,Economy,2565,01-08-1988
1988 W32,ADL-PER,Economy,2247,08-08-1988
1988 W33,ADL-PER,Economy,2291,15-08-1988
1988 W34,ADL-PER,Economy,1978,22-08-1988
1988 W35,ADL-PER,Economy,2243,29-08-1988
1988 W36,ADL-PER,Economy,2299,05-09-1988
1988 W37,ADL-PER,Economy,2790,12-09-1988
1988 W38,ADL-PER,Economy,2615,19-09-1988
1988 W39,ADL-PER,Economy,2058,26-09-1988
1988 W40,ADL-PER,Economy,2631,03-10-1988
1988 W41,ADL-PER,Economy,2240,10-10-1988
1988 W42,ADL-PER,Economy,2436,17-10-1988
1988 W43,ADL-PER,Economy,1957,24-10-1988
1988 W44,ADL-PER,Economy,2244,31-10-1988
1988 W45,ADL-PER,Economy,2308,07-11-1988
1988 W46,ADL-PER,Economy,1946,14-11-1988
1988 W47,ADL-PER,Economy,2190,21-11-1988
1988 W48,ADL-PER,Economy,2220,28-11-1988
1988 W49,ADL-PER,Economy,2723,05-12-1988
1988 W50,ADL-PER,Economy,2951,12-12-1988
1988 W51,ADL-PER,Economy,1742,19-12-1988
1988 W52,ADL-PER,Economy,2453,26-12-1988
1989 W01,ADL-PER,Economy,2469,02-01-1989
1989 W02,ADL-PER,Economy,2429,09-01-1989
1989 W03,ADL-PER,Economy,2391,16-01-1989
1989 W04,ADL-PER,Economy,2054,23-01-1989
1989 W05,ADL-PER,Economy,2127,30-01-1989
1989 W06,ADL-PER,Economy,2103,06-02-1989
1989 W07,ADL-PER,Economy,1958,13-02-1989
1989 W08,ADL-PER,Economy,2234,20-02-1989
1989 W09,ADL-PER,Economy,2030,27-02-1989
1989 W10,ADL-PER,Economy,2427,06-03-1989
1989 W11,ADL-PER,Economy,2733,13-03-1989
1989 W12,ADL-PER,Economy,2599,20-03-1989
1989 W13,ADL-PER,Economy,2639,27-03-1989
1989 W14,ADL-PER,Economy,2508,03-04-1989
1989 W15,ADL-PER,Economy,2379,10-04-1989
1989 W16,ADL-PER,Economy,2262,17-04-1989
1989 W17,ADL-PER,Economy,2502,24-04-1989
1989 W18,ADL-PER,Economy,2080,01-05-1989
1989 W19,ADL-PER,Economy,1930,08-05-1989
1989 W20,ADL-PER,Economy,1696,15-05-1989
1989 W21,ADL-PER,Economy,2014,22-05-1989
1989 W22,ADL-PER,Economy,1611,29-05-1989
1989 W23,ADL-PER,Economy,1759,05-06-1989
1989 W24,ADL-PER,Economy,1962,12-06-1989
1989 W25,ADL-PER,Economy,2060,19-06-1989
1989 W26,ADL-PER,Economy,2486,26-06-1989
1989 W27,ADL-PER,Economy,2481,03-07-1989
1989 W28,ADL-PER,Economy,2245,10-07-1989
1989 W29,ADL-PER,Economy,2215,17-07-1989
1989 W30,ADL-PER,Economy,1748,24-07-1989
1989 W31,ADL-PER,Economy,1647,31-07-1989
1989 W32,ADL-PER,Economy,1698,07-08-1989
1989 W33,ADL-PER,Economy,965,14-08-1989
1989 W34,ADL-PER,Economy,0,21-08-1989
1989 W35,ADL-PER,Economy,0,28-08-1989
1989 W36,ADL-PER,Economy,0,04-09-1989
1989 W37,ADL-PER,Economy,0,11-09-1989
1989 W38,ADL-PER,Economy,0,18-09-1989
1989 W39,ADL-PER,Economy,0,25-09-1989
1989 W40,ADL-PER,Economy,0,02-10-1989
1989 W41,ADL-PER,Economy,0,09-10-1989
1989 W42,ADL-PER,Economy,0,16-10-1989
1989 W43,ADL-PER,Economy,109,23-10-1989
1989 W44,ADL-PER,Economy,87,30-10-1989
1989 W45,ADL-PER,Economy,63,06-11-1989
1989 W46,ADL-PER,Economy,47,13-11-1989
1989 W47,ADL-PER,Economy,0,20-11-1989
1989 W48,ADL-PER,Economy,0,27-11-1989
1989 W49,ADL-PER,Economy,167,04-12-1989
1989 W50,ADL-PER,Economy,1428,11-12-1989
1989 W51,ADL-PER,Economy,1143,18-12-1989
1989 W52,ADL-PER,Economy,1242,25-12-1989
1990 W01,ADL-PER,Economy,1258,01-01-1990
1990 W02,ADL-PER,Economy,1438,08-01-1990
1990 W03,ADL-PER,Economy,1098,15-01-1990
1990 W04,ADL-PER,Economy,1321,22-01-1990
1990 W05,ADL-PER,Economy,1307,29-01-1990
1990 W06,ADL-PER,Economy,1398,05-02-1990
1990 W07,ADL-PER,Economy,1300,12-02-1990
1990 W08,ADL-PER,Economy,1330,19-02-1990
1990 W09,ADL-PER,Economy,1652,26-02-1990
1990 W10,ADL-PER,Economy,1427,05-03-1990
1990 W11,ADL-PER,Economy,1882,12-03-1990
1990 W12,ADL-PER,Economy,2120,19-03-1990
1990 W13,ADL-PER,Economy,2317,26-03-1990
1990 W14,ADL-PER,Economy,2514,02-04-1990
1990 W15,ADL-PER,Economy,2298,09-04-1990
1990 W16,ADL-PER,Economy,2351,16-04-1990
1990 W17,ADL-PER,Economy,2104,23-04-1990
1990 W18,ADL-PER,Economy,1731,30-04-1990
1990 W19,ADL-PER,Economy,1620,07-05-1990
1990 W20,ADL-PER,Economy,1475,14-05-1990
1990 W21,ADL-PER,Economy,1423,21-05-1990
1990 W22,ADL-PER,Economy,1538,28-05-1990
1990 W23,ADL-PER,Economy,1549,04-06-1990
1990 W24,ADL-PER,Economy,1559,11-06-1990
1990 W25,ADL-PER,Economy,1945,18-06-1990
1990 W26,ADL-PER,Economy,2415,25-06-1990
1990 W27,ADL-PER,Economy,2345,02-07-1990
1990 W28,ADL-PER,Economy,2183,09-07-1990
1990 W29,ADL-PER,Economy,2036,16-07-1990
1990 W30,ADL-PER,Economy,1685,23-07-1990
1990 W31,ADL-PER,Economy,1728,30-07-1990
1990 W32,ADL-PER,Economy,1799,06-08-1990
1990 W33,ADL-PER,Economy,1981,13-08-1990
1990 W34,ADL-PER,Economy,1986,20-08-1990
1990 W35,ADL-PER,Economy,2101,27-08-1990
1990 W36,ADL-PER,Economy,2331,03-09-1990
1990 W37,ADL-PER,Economy,2642,10-09-1990
1990 W38,ADL-PER,Economy,1538,17-09-1990
1990 W39,ADL-PER,Economy,2501,24-09-1990
1990 W40,ADL-PER,Economy,2653,01-10-1990
1990 W41,ADL-PER,Economy,2283,08-10-1990
1990 W42,ADL-PER,Economy,2209,15-10-1990
1990 W43,ADL-PER,Economy,2152,22-10-1990
1990 W44,ADL-PER,Economy,2200,29-10-1990
1990 W45,ADL-PER,Economy,1970,05-11-1990
1990 W46,ADL-PER,Economy,1864,12-11-1990
1990 W47,ADL-PER,Economy,1965,19-11-1990
1990 W48,ADL-PER,Economy,1990,26-11-1990
1990 W49,ADL-PER,Economy,1977,03-12-1990
1990 W50,ADL-PER,Economy,2697,10-12-1990
1990 W51,ADL-PER,Economy,2238,17-12-1990
1990 W52,ADL-PER,Economy,2323,24-12-1990
1991 W01,ADL-PER,Economy,2653,31-12-1991
1991 W02,ADL-PER,Economy,2453,07-01-1991
1991 W03,ADL-PER,Economy,1474,14-01-1991
1991 W04,ADL-PER,Economy,2437,21-01-1991
1991 W05,ADL-PER,Economy,1905,28-01-1991
1991 W06,ADL-PER,Economy,1860,04-02-1991
1991 W07,ADL-PER,Economy,1806,11-02-1991
1991 W08,ADL-PER,Economy,1866,18-02-1991
1991 W09,ADL-PER,Economy,1581,25-02-1991
1991 W10,ADL-PER,Economy,1790,04-03-1991
1991 W11,ADL-PER,Economy,2210,11-03-1991
1991 W12,ADL-PER,Economy,1928,18-03-1991
1991 W13,ADL-PER,Economy,1805,25-03-1991
1991 W14,ADL-PER,Economy,2073,01-04-1991
1991 W15,ADL-PER,Economy,2227,08-04-1991
1991 W16,ADL-PER,Economy,1925,15-04-1991
1991 W17,ADL-PER,Economy,2018,22-04-1991
1991 W18,ADL-PER,Economy,1924,29-04-1991
1991 W19,ADL-PER,Economy,1595,06-05-1991
1991 W20,ADL-PER,Economy,1665,13-05-1991
1991 W21,ADL-PER,Economy,1664,20-05-1991
1991 W22,ADL-PER,Economy,1640,27-05-1991
1991 W23,ADL-PER,Economy,1494,03-06-1991
1991 W24,ADL-PER,Economy,1682,10-06-1991
1991 W25,ADL-PER,Economy,1776,17-06-1991
1991 W26,ADL-PER,Economy,2008,24-06-1991
1991 W27,ADL-PER,Economy,2129,01-07-1991
1991 W28,ADL-PER,Economy,2284,08-07-1991
1991 W29,ADL-PER,Economy,2030,15-07-1991
1991 W30,ADL-PER,Economy,2024,22-07-1991
1991 W31,ADL-PER,Economy,2022,29-07-1991
1991 W32,ADL-PER,Economy,2036,05-08-1991
1991 W33,ADL-PER,Economy,2070,12-08-1991
1991 W34,ADL-PER,Economy,2286,19-08-1991
1991 W35,ADL-PER,Economy,2305,26-08-1991
1991 W36,ADL-PER,Economy,2426,02-09-1991
1991 W37,ADL-PER,Economy,2483,09-09-1991
1991 W38,ADL-PER,Economy,2697,16-09-1991
1991 W39,ADL-PER,Economy,2617,23-09-1991
1991 W40,ADL-PER,Economy,2605,30-09-1991
1991 W41,ADL-PER,Economy,2560,07-10-1991
1991 W42,ADL-PER,Economy,2655,14-10-1991
1991 W43,ADL-PER,Economy,2376,21-10-1991
1991 W44,ADL-PER,Economy,2442,28-10-1991
1991 W45,ADL-PER,Economy,2509,04-11-1991
1991 W46,ADL-PER,Economy,2649,11-11-1991
1991 W47,ADL-PER,Economy,2501,18-11-1991
1991 W48,ADL-PER,Economy,2496,25-11-1991
1991 W49,ADL-PER,Economy,2711,02-12-1991
1991 W50,ADL-PER,Economy,2913,09-12-1991
1991 W51,ADL-PER,Economy,2909,16-12-1991
1991 W52,ADL-PER,Economy,3163,23-12-1991
1992 W01,ADL-PER,Economy,3305,30-12-1992
1992 W02,ADL-PER,Economy,3036,06-01-1992
1992 W03,ADL-PER,Economy,2977,13-01-1992
1992 W04,ADL-PER,Economy,2444,20-01-1992
1992 W05,ADL-PER,Economy,2480,27-01-1992
1992 W06,ADL-PER,Economy,2393,03-02-1992
1992 W07,ADL-PER,Economy,2282,10-02-1992
1992 W08,ADL-PER,Economy,2417,17-02-1992
1992 W09,ADL-PER,Economy,2266,24-02-1992
1992 W10,ADL-PER,Economy,2353,02-03-1992
1992 W11,ADL-PER,Economy,2354,09-03-1992
1992 W12,ADL-PER,Economy,1670,16-03-1992
1992 W13,ADL-PER,Economy,1612,23-03-1992
1992 W14,ADL-PER,Economy,1485,30-03-1992
1992 W15,ADL-PER,Economy,1934,06-04-1992
1992 W16,ADL-PER,Economy,1856,13-04-1992
1992 W17,ADL-PER,Economy,1776,20-04-1992
1992 W18,ADL-PER,Economy,1629,27-04-1992
1992 W19,ADL-PER,Economy,1427,04-05-1992
1992 W20,ADL-PER,Economy,1558,11-05-1992
1992 W21,ADL-PER,Economy,1480,18-05-1992
1992 W22,ADL-PER,Economy,1416,25-05-1992
1992 W23,ADL-PER,Economy,1768,01-06-1992
1992 W24,ADL-PER,Economy,1888,08-06-1992
1992 W25,ADL-PER,Economy,2242,15-06-1992
1992 W26,ADL-PER,Economy,2692,22-06-1992
1992 W27,ADL-PER,Economy,2519,29-06-1992
1992 W28,ADL-PER,Economy,2535,06-07-1992
1992 W29,ADL-PER,Economy,2534,13-07-1992
1992 W30,ADL-PER,Economy,2700,20-07-1992
1992 W31,ADL-PER,Economy,2578,27-07-1992
1992 W32,ADL-PER,Economy,2488,03-08-1992
1992 W33,ADL-PER,Economy,2681,10-08-1992
1992 W34,ADL-PER,Economy,2634,17-08-1992
1992 W35,ADL-PER,Economy,2483,24-08-1992
1992 W36,ADL-PER,Economy,2753,31-08-1992
1992 W37,ADL-PER,Economy,2837,07-09-1992
1992 W38,ADL-PER,Economy,3048,14-09-1992
1992 W39,ADL-PER,Economy,3061,21-09-1992
1992 W40,ADL-PER,Economy,2943,28-09-1992
1992 W41,ADL-PER,Economy,2789,05-10-1992
1992 W42,ADL-PER,Economy,2823,12-10-1992
1992 W43,ADL-PER,Economy,2799,19-10-1992
1992 W44,ADL-PER,Economy,2650,26-10-1992
1992 W45,ADL-PER,Economy,3059,02-11-1992
1992 W46,ADL-PER,Economy,2783,09-11-1992
1992 W47,ADL-PER,Economy,2722,16-11-1992
1987 W26,ADL-PER,First,252,22-06-1987
1987 W27,ADL-PER,First,193,29-06-1987
1987 W28,ADL-PER,First,159,06-07-1987
1987 W29,ADL-PER,First,219,13-07-1987
1987 W30,ADL-PER,First,192,20-07-1987
1987 W31,ADL-PER,First,219,27-07-1987
1987 W32,ADL-PER,First,191,03-08-1987
1987 W33,ADL-PER,First,229,10-08-1987
1987 W34,ADL-PER,First,197,17-08-1987
1987 W35,ADL-PER,First,209,24-08-1987
1987 W36,ADL-PER,First,204,31-08-1987
1987 W37,ADL-PER,First,195,07-09-1987
1987 W38,ADL-PER,First,214,14-09-1987
1987 W39,ADL-PER,First,219,21-09-1987
1987 W40,ADL-PER,First,289,28-09-1987
1987 W41,ADL-PER,First,233,05-10-1987
1987 W42,ADL-PER,First,286,12-10-1987
1987 W43,ADL-PER,First,262,19-10-1987
1987 W44,ADL-PER,First,183,26-10-1987
1987 W45,ADL-PER,First,341,02-11-1987
1987 W46,ADL-PER,First,328,09-11-1987
1987 W47,ADL-PER,First,222,16-11-1987
1987 W48,ADL-PER,First,223,23-11-1987
1987 W49,ADL-PER,First,250,30-11-1987
1987 W50,ADL-PER,First,173,07-12-1987
1987 W51,ADL-PER,First,64,14-12-1987
1987 W52,ADL-PER,First,38,21-12-1987
1987 W53,ADL-PER,First,67,28-12-1987
1988 W01,ADL-PER,First,112,04-01-1988
1988 W02,ADL-PER,First,120,11-01-1988
1988 W03,ADL-PER,First,129,18-01-1988
1988 W04,ADL-PER,First,159,25-01-1988
1988 W05,ADL-PER,First,308,01-02-1988
1988 W06,ADL-PER,First,227,08-02-1988
1988 W07,ADL-PER,First,316,15-02-1988
1988 W08,ADL-PER,First,232,22-02-1988
1988 W09,ADL-PER,First,223,29-02-1988
1988 W10,ADL-PER,First,243,07-03-1988
1988 W11,ADL-PER,First,186,14-03-1988
1988 W12,ADL-PER,First,100,21-03-1988
1988 W13,ADL-PER,First,149,28-03-1988
1988 W14,ADL-PER,First,264,04-04-1988
1988 W15,ADL-PER,First,303,11-04-1988
1988 W16,ADL-PER,First,255,18-04-1988
1988 W17,ADL-PER,First,242,25-04-1988
1988 W18,ADL-PER,First,260,02-05-1988
1988 W19,ADL-PER,First,241,09-05-1988
1988 W20,ADL-PER,First,234,16-05-1988
1988 W21,ADL-PER,First,214,23-05-1988
1988 W22,ADL-PER,First,164,30-05-1988
1988 W23,ADL-PER,First,219,06-06-1988
1988 W24,ADL-PER,First,186,13-06-1988
1988 W25,ADL-PER,First,195,20-06-1988
1988 W26,ADL-PER,First,180,27-06-1988
1988 W27,ADL-PER,First,181,04-07-1988
1988 W28,ADL-PER,First,219,11-07-1988
1988 W29,ADL-PER,First,191,18-07-1988
1988 W30,ADL-PER,First,211,25-07-1988
1988 W31,ADL-PER,First,196,01-08-1988
1988 W32,ADL-PER,First,198,08-08-1988
1988 W33,ADL-PER,First,204,15-08-1988
1988 W34,ADL-PER,First,208,22-08-1988
1988 W35,ADL-PER,First,220,29-08-1988
1988 W36,ADL-PER,First,199,05-09-1988
1988 W37,ADL-PER,First,253,12-09-1988
1988 W38,ADL-PER,First,161,19-09-1988
1988 W39,ADL-PER,First,109,26-09-1988
1988 W40,ADL-PER,First,180,03-10-1988
1988 W41,ADL-PER,First,175,10-10-1988
1988 W42,ADL-PER,First,200,17-10-1988
1988 W43,ADL-PER,First,167,24-10-1988
1988 W44,ADL-PER,First,277,31-10-1988
1988 W45,ADL-PER,First,339,07-11-1988
1988 W46,ADL-PER,First,203,14-11-1988
1988 W47,ADL-PER,First,264,21-11-1988
1988 W48,ADL-PER,First,204,28-11-1988
1988 W49,ADL-PER,First,164,05-12-1988
1988 W50,ADL-PER,First,134,12-12-1988
1988 W51,ADL-PER,First,47,19-12-1988
1988 W52,ADL-PER,First,51,26-12-1988
